FROM,TO,YEAR,OUT
EUR,EUR,2016,1
NOK,EUR,2016,0.10762502728360658
MXN,EUR,2016,0.04847282914262296
USD,EUR,2016,0.9039231932314208
ZAR,EUR,2016,0.0616705497489071
GBP,EUR,2016,1.2247815476346995
INR,EUR,2016,0.013456343633879781
DKK,EUR,2016,0.13430927008415297
COP,EUR,2016,0.00029671464371584696
JPY,EUR,2016,0.008328241319945355
SEK,EUR,2016,0.10565565492076505
AUD,EUR,2016,0.6721500127663935
CHF,EUR,2016,0.9174602028590163
BRL,EUR,2016,0.2607012766330601
PLN,EUR,2016,0.22925932440327865
CNY,EUR,2016,0.1360951976464481
CAD,EUR,2016,0.6824060381133882
HKD,EUR,2016,0.11645113754043715
SGD,EUR,2016,0.6546292934967214
THB,EUR,2016,0.025617800583606562
MYR,EUR,2016,0.21841789806502734
NZD,EUR,2016,0.6301337623617486
RUB,EUR,2016,0.013553405343442623
EUR,EUR,2017,1
NOK,EUR,2017,0.10722946375369863
MXN,EUR,2017,0.046952728051506847
USD,EUR,2017,0.8868598178657534
ZAR,EUR,2017,0.06668097188657535
GBP,EUR,2017,1.1414077686915067
INR,EUR,2017,0.013617275627123285
DKK,EUR,2017,0.13440264758246576
COP,EUR,2017,0.0003008930698630137
JPY,EUR,2017,0.007907721457534246
SEK,EUR,2017,0.1037845861180822
AUD,EUR,2017,0.6795235770134246
CHF,EUR,2017,0.9006003108684931
BRL,EUR,2017,0.2774350248589041
PLN,EUR,2017,0.23492531811479453
CNY,EUR,2017,0.1311640882052055
CAD,EUR,2017,0.6830834607421917
HKD,EUR,2017,0.11382725637534245
SGD,EUR,2017,0.6418806078712329
THB,EUR,2017,0.026119122957534244
MYR,EUR,2017,0.20611934840876717
NZD,EUR,2017,0.6303041518457535
RUB,EUR,2017,0.015173762019178081
EUR,EUR,2018,1
NOK,EUR,2018,0.10411258428246577
MXN,EUR,2018,0.04408473851589041
USD,EUR,2018,0.847412361469315
ZAR,EUR,2018,0.06424280422794522
GBP,EUR,2018,1.1301274459723287
INR,EUR,2018,0.012399507277534246
DKK,EUR,2018,0.13415661824821917
COP,EUR,2018,0.00028692603150684933
JPY,EUR,2018,0.007673568171506851
SEK,EUR,2018,0.0974800589060274
AUD,EUR,2018,0.6329035623123287
CHF,EUR,2018,0.8660466951484932
BRL,EUR,2018,0.233070736490411
PLN,EUR,2018,0.2347584917191781
CNY,EUR,2018,0.12816092656
CAD,EUR,2018,0.65382131552137
HKD,EUR,2018,0.10812389879890415
SGD,EUR,2018,0.6278903672882192
THB,EUR,2018,0.026209499629863013
MYR,EUR,2018,0.2100006493539726
NZD,EUR,2018,0.5860384969679453
RUB,EUR,2018,0.013528432069041096
EUR,EUR,2019,1
NOK,EUR,2019,0.10154527237589042
MXN,EUR,2019,0.04640042203534247
USD,EUR,2019,0.8930859775895891
ZAR,EUR,2019,0.06184939905342466
GBP,EUR,2019,1.1402751567389042
INR,EUR,2019,0.012683019524383561
DKK,EUR,2019,0.13391930802301372
COP,EUR,2019,0.00027246891041095885
JPY,EUR,2019,0.008195082289863013
SEK,EUR,2019,0.09449494070328768
AUD,EUR,2019,0.620923590770137
CHF,EUR,2019,0.8989659456136988
BRL,EUR,2019,0.22664810249315068
PLN,EUR,2019,0.2327400710032876
CNY,EUR,2019,0.12930844699561642
CAD,EUR,2019,0.6731839965816437
HKD,EUR,2019,0.11398087885863012
SGD,EUR,2019,0.6545352474410958
THB,EUR,2019,0.02878017235671233
MYR,EUR,2019,0.2156313392769863
NZD,EUR,2019,0.5885124034687671
RUB,EUR,2019,0.013800958484109588
EUR,EUR,2020,1
TWD,EUR,2020,0.0297755
NOK,EUR,2020,0.09332609065519126
MXN,EUR,2020,0.04107553534808743
USD,EUR,2020,0.8771897943224045
ZAR,EUR,2020,0.05355662184508196
GBP,EUR,2020,1.1249453952377049
INR,EUR,2020,0.011829420517759563
DKK,EUR,2020,0.1341276760770492
COP,EUR,2020,0.0002383058964480875
JPY,EUR,2020,0.008213599529508196
SEK,EUR,2020,0.09536522663688524
AUD,EUR,2020,0.6044214250478143
CHF,EUR,2020,0.9341869739439891
BRL,EUR,2020,0.17210105496639344
PLN,EUR,2020,0.22516245899426232
CNY,EUR,2020,0.12706119981502734
CAD,EUR,2020,0.6540770407800546
HKD,EUR,2020,0.113087644434153
SGD,EUR,2020,0.6357261221557378
THB,EUR,2020,0.02803894371420765
MYR,EUR,2020,0.20876778910846996
NZD,EUR,2020,0.5696326860379782
RUB,EUR,2020,0.012214736573224043
EUR,EUR,2021,1
NOK,EUR,2021,0.09837242860821917
MXN,EUR,2021,0.04169482491890411
USD,EUR,2021,0.8456169683734247
ZAR,EUR,2021,0.05723503331068493
GBP,EUR,2021,1.1628985463547945
INR,EUR,2021,0.011437508732602738
DKK,EUR,2021,0.1344598543032877
COP,EUR,2021,0.0002260193794520548
JPY,EUR,2021,0.007702749594520548
SEK,EUR,2021,0.09856295186931506
AUD,EUR,2021,0.6349565810328767
CHF,EUR,2021,0.9250162798580821
BRL,EUR,2021,0.15687514405589043
PLN,EUR,2021,0.21909174221945205
CNY,EUR,2021,0.13107181704547946
CAD,EUR,2021,0.6745137706000001
HKD,EUR,2021,0.10878908360684933
SGD,EUR,2021,0.6292024541115069
THB,EUR,2021,0.02646560300328767
MYR,EUR,2021,0.20406673489835617
NZD,EUR,2021,0.5979308705873974
RUB,EUR,2021,0.011479950619178085
