from,to,end_of_month,average_rate,number_of_days
EUR,EUR,2010.01.31,1.0,31
EUR,EUR,2010.02.28,1.0,28
EUR,EUR,2010.03.31,1.0,31
EUR,EUR,2010.04.30,1.0,30
EUR,EUR,2010.05.31,1.0,31
EUR,EUR,2010.06.30,1.0,30
EUR,EUR,2010.07.31,1.0,31
EUR,EUR,2010.08.31,1.0,31
EUR,EUR,2010.09.30,1.0,30
EUR,EUR,2010.10.31,1.0,31
EUR,EUR,2010.11.30,1.0,30
EUR,EUR,2010.12.31,1.0,31
EUR,EUR,2011.01.31,1.0,31
EUR,EUR,2011.02.28,1.0,28
EUR,EUR,2011.03.31,1.0,31
EUR,EUR,2011.04.30,1.0,30
EUR,EUR,2011.05.31,1.0,31
EUR,EUR,2011.06.30,1.0,30
EUR,EUR,2011.07.31,1.0,31
EUR,EUR,2011.08.31,1.0,31
EUR,EUR,2011.09.30,1.0,30
EUR,EUR,2011.10.31,1.0,31
EUR,EUR,2011.11.30,1.0,30
EUR,EUR,2011.12.31,1.0,31
EUR,EUR,2012.01.31,1.0,31
EUR,EUR,2012.02.29,1.0,29
EUR,EUR,2012.03.31,1.0,31
EUR,EUR,2012.04.30,1.0,30
EUR,EUR,2012.05.31,1.0,31
EUR,EUR,2012.06.30,1.0,30
EUR,EUR,2012.07.31,1.0,31
EUR,EUR,2012.08.31,1.0,31
EUR,EUR,2012.09.30,1.0,30
EUR,EUR,2012.10.31,1.0,31
EUR,EUR,2012.11.30,1.0,30
EUR,EUR,2012.12.31,1.0,31
EUR,EUR,2013.01.31,1.0,31
EUR,EUR,2013.02.28,1.0,28
EUR,EUR,2013.03.31,1.0,31
EUR,EUR,2013.04.30,1.0,30
EUR,EUR,2013.05.31,1.0,31
EUR,EUR,2013.06.30,1.0,30
EUR,EUR,2013.07.31,1.0,31
EUR,EUR,2013.08.31,1.0,31
EUR,EUR,2013.09.30,1.0,30
EUR,EUR,2013.10.31,1.0,31
EUR,EUR,2013.11.30,1.0,30
EUR,EUR,2013.12.31,1.0,31
EUR,EUR,2014.01.31,1.0,31
EUR,EUR,2014.02.28,1.0,28
EUR,EUR,2014.03.31,1.0,31
EUR,EUR,2014.04.30,1.0,30
EUR,EUR,2014.05.31,1.0,31
EUR,EUR,2014.06.30,1.0,30
EUR,EUR,2014.07.31,1.0,31
EUR,EUR,2014.08.31,1.0,31
EUR,EUR,2014.09.30,1.0,30
EUR,EUR,2014.10.31,1.0,31
EUR,EUR,2014.11.30,1.0,30
EUR,EUR,2014.12.31,1.0,31
EUR,EUR,2015.01.31,1.0,31
EUR,EUR,2015.02.28,1.0,28
EUR,EUR,2015.03.31,1.0,31
EUR,EUR,2015.04.30,1.0,30
EUR,EUR,2015.05.31,1.0,31
EUR,EUR,2015.06.30,1.0,30
EUR,EUR,2015.07.31,1.0,31
EUR,EUR,2015.08.31,1.0,31
EUR,EUR,2015.09.30,1.0,30
EUR,EUR,2015.10.31,1.0,31
EUR,EUR,2015.11.30,1.0,30
EUR,EUR,2015.12.31,1.0,31
EUR,EUR,2016.01.31,1.0,31
EUR,EUR,2016.02.29,1.0,29
EUR,EUR,2016.03.31,1.0,31
EUR,EUR,2016.04.30,1.0,30
EUR,EUR,2016.05.31,1.0,31
EUR,EUR,2016.06.30,1.0,30
EUR,EUR,2016.07.31,1.0,31
EUR,EUR,2016.08.31,1.0,31
EUR,EUR,2016.09.30,1.0,30
EUR,EUR,2016.10.31,1.0,31
EUR,EUR,2016.11.30,1.0,30
EUR,EUR,2016.12.31,1.0,31
EUR,EUR,2017.01.31,1.0,31
EUR,EUR,2017.02.28,1.0,28
EUR,EUR,2017.03.31,1.0,31
EUR,EUR,2017.04.30,1.0,30
EUR,EUR,2017.05.31,1.0,31
